title,Logo,Tag,Description,Price,temp_link
GenPlus,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/GenPlus.png,Chat,"GEN plus, a ChatGPT browser extension, helps you automate your online activity, creating high-quality content, sending emails, and searching the web for a wide variety of information.",Freemium,https://genplus.lemonsqueezy.com/
Synthesia,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Synthesia.png,Text-to-Video,"AI video creation platform that lets you turn documents, PowerPoints, and PDFs into engaging videos. Create your own avatars or choose from 100 realistic avatars, 130 languages, and 55 video templates.",Paid,https://www.synthesia.io/
Tailwind Ghostwriter,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Tailwind%20Ghostwriter.png,Social Media,"Tailwind App reclaims the scheduling tool throne with its new Ghostwriter feature, offering versatile AI-powered copywriting for SEO, ads, and social media content, saving you time and boosting your marketing game.",Paid,https://www.tailwindapp.com/ghostwriter
AIApply,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/AIApply.png,Recruitment,"Simplify your job hunt with AI Apply, an AI-powered tool that automates and optimizes your job application process.",Freemium,https://aiapply.co/
Followr,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Followr.png,Social Media,"Followr streamlines social media management with AI-powered scheduling, content creation, and analytics for optimized engagement across multiple social media platforms.",Freemium,https://followr.ai/
Altered,-,Audio,"Record, craft, tweak, and control any voice audio professionally. Transform your voice or alter your accent with the finesse of a pro audio studio.",Paid,https://www.altered.ai/
Formula Bot,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Formula%20Bot.png,Productivity,"Upload, analyze and query your data with AI. Solve your Excel and Google Sheets problems in seconds with AI-generated formula generators. Type questions about your data to unlock insights and generate charts.",Paid,https://formulabot.com/
CustomGPT,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/CustomGPT.png,Chat,"Build ChatGPT plugins without code. Expand your customer reach by integrating your company’s database on ChatGPT for instant, accurate response to customer queries or creating a search retrieval plugin—thus increasing your operational efficiency exponentially.",Freemium,https://customgpt.ai
Lovo,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Lovo.png,Text-to-Voice,"AI voiceover and text to speech platform gives you the ability to create realistic, human-like voices for your project with pronunciation editing, voice speed controls, and voice emotion manipulation.",Freemium,https://lovo.ai
HookSounds AI Studio,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/HookSounds%20AI%20Studio.png,Music,"Make custom, mood-aligned soundtracks for your videos with AI Studio. Instantly analyze your video's unique characteristics and produce smart-synced music, eliminating manual editing. Keep refining until you hit the perfect note.",Paid,https://www.hooksounds.com/studio/
https://www.feathery.io/?ref=otywmda,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Feathery.png,Productivity,"Create elegant online forms with unparalleled speed, all while offering deep customization and seamless integration. From intuitive design tools to advanced form logic, Feathery AI is changing the form-building market.",Freemium,https://www.feathery.io/
Designs ai,-,Image Editing,"A ceative wonderland of AI-driven tools for every artistic whim, streamlining projects and fueling inspiration for influencers, startups, educators, and beyond.",Paid,https://shareasale.com/r.cfm
